protein_a,protein_b,length_aa,length_a,length_b,rank_count,peak_score_rank_1,peak_score_rank_2,peak_score_rank_3,peak_score_min,peak_score_max,ptm_rank_1,ptm_rank_2,ptm_rank_3,ptm_min,ptm_max,iptm_rank_1,iptm_rank_2,iptm_rank_3,iptm_min,iptm_max,max_pae_rank_1,max_pae_rank_2,max_pae_rank_3,max_pae_min,max_pae_max,bait,partner,peak_avg,peak_max_norm,peak_min_norm,peak_values_norm,ptm_avg,iptm_avg,ptm_values,iptm_values,uniprot_url
A1AG2_HUMAN,MGAT3_HUMAN,734,201,533,3,9.0,15.0,13.0,9.0,15.0,0.58,0.58,0.58,0.58,0.58,0.22,0.21,0.2,0.2,0.22,31.71875,31.71875,31.6875,31.6875,31.71875,A1AG2_HUMAN,MGAT3_HUMAN,0.5888888888888889,0.7,0.5,0.7:0.5:0.567,0.58,0.21,0.58:0.58:0.58,0.22:0.21:0.2,https://www.uniprot.org/uniprotkb/MGAT3_HUMAN/entry
A1AG2_HUMAN,PCDA5_HUMAN,1137,201,936,3,3.0,22.0,25.0,3.0,25.0,0.42,0.4,0.4,0.4,0.42,0.53,0.18,0.14,0.14,0.53,31.71875,31.734375,31.734375,31.71875,31.734375,A1AG2_HUMAN,PCDA5_HUMAN,0.4444444444444445,0.9,0.16666666666666663,0.9:0.267:0.167,0.40666666666666673,0.2833333333333333,0.42:0.4:0.4,0.53:0.18:0.14,https://www.uniprot.org/uniprotkb/PCDA5_HUMAN/entry
A1AG2_HUMAN,PCSK9_HUMAN,893,201,692,3,12.0,16.0,19.0,12.0,19.0,0.72,0.71,0.7,0.7,0.72,0.26,0.19,0.15,0.15,0.26,31.703125,31.6875,31.703125,31.6875,31.703125,A1AG2_HUMAN,PCSK9_HUMAN,0.4777777777777778,0.6,0.3666666666666667,0.6:0.467:0.367,0.71,0.19999999999999998,0.72:0.71:0.7,0.26:0.19:0.15,https://www.uniprot.org/uniprotkb/PCSK9_HUMAN/entry
A1AG2_HUMAN,PLVAP_HUMAN,643,201,442,3,15.0,21.0,25.0,15.0,25.0,0.34,0.34,0.34,0.34,0.34,0.17,0.12,0.11,0.11,0.17,31.734375,31.734375,31.734375,31.734375,31.734375,A1AG2_HUMAN,PLVAP_HUMAN,0.32222222222222224,0.5,0.16666666666666663,0.5:0.3:0.167,0.34,0.13333333333333333,0.34:0.34:0.34,0.17:0.12:0.11,https://www.uniprot.org/uniprotkb/PLVAP_HUMAN/entry
A1AG2_HUMAN,PPIG_HUMAN,955,201,754,3,16.0,21.0,15.0,15.0,21.0,0.3,0.3,0.31,0.3,0.31,0.22,0.2,0.19,0.19,0.22,31.71875,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,PPIG_HUMAN,0.4222222222222222,0.5,0.30000000000000004,0.467:0.3:0.5,0.3033333333333333,0.20333333333333337,0.3:0.3:0.31,0.22:0.2:0.19,https://www.uniprot.org/uniprotkb/PPIG_HUMAN/entry
A1AG2_HUMAN,S22A8_HUMAN,743,201,542,3,22.0,22.0,22.0,22.0,22.0,0.62,0.62,0.61,0.61,0.62,0.14,0.13,0.13,0.13,0.14,31.6875,31.734375,31.71875,31.6875,31.734375,A1AG2_HUMAN,S22A8_HUMAN,0.2666666666666667,0.2666666666666667,0.2666666666666667,0.267:0.267:0.267,0.6166666666666667,0.13333333333333333,0.62:0.62:0.61,0.14:0.13:0.13,https://www.uniprot.org/uniprotkb/S22A8_HUMAN/entry
A1AG2_HUMAN,SPA11_HUMAN,623,201,422,3,7.0,10.0,9.0,7.0,10.0,0.58,0.57,0.57,0.57,0.58,0.26,0.2,0.19,0.19,0.26,31.6875,31.703125,31.734375,31.6875,31.734375,A1AG2_HUMAN,SPA11_HUMAN,0.7111111111111111,0.7666666666666666,0.6666666666666667,0.767:0.667:0.7,0.5733333333333333,0.21666666666666667,0.58:0.57:0.57,0.26:0.2:0.19,https://www.uniprot.org/uniprotkb/SPA11_HUMAN/entry
A1AG2_HUMAN,SPB6_HUMAN,577,201,376,3,5.0,5.0,6.0,5.0,6.0,0.62,0.62,0.63,0.62,0.63,0.33,0.28,0.24,0.24,0.33,31.703125,31.671875,31.6875,31.671875,31.703125,A1AG2_HUMAN,SPB6_HUMAN,0.8222222222222223,0.8333333333333334,0.8,0.833:0.833:0.8,0.6233333333333334,0.2833333333333334,0.62:0.62:0.63,0.33:0.28:0.24,https://www.uniprot.org/uniprotkb/SPB6_HUMAN/entry
A1AG2_HUMAN,SPTC3_HUMAN,753,201,552,3,8.0,9.0,23.0,8.0,23.0,0.74,0.65,0.65,0.65,0.74,0.53,0.23,0.13,0.13,0.53,31.71875,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,SPTC3_HUMAN,0.5555555555555555,0.7333333333333334,0.23333333333333328,0.733:0.7:0.233,0.68,0.2966666666666667,0.74:0.65:0.65,0.53:0.23:0.13,https://www.uniprot.org/uniprotkb/SPTC3_HUMAN/entry
A1AG2_HUMAN,UBIP1_HUMAN,741,201,540,3,8.0,8.0,7.0,7.0,8.0,0.37,0.37,0.37,0.37,0.37,0.28,0.26,0.25,0.25,0.28,31.71875,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,UBIP1_HUMAN,0.7444444444444445,0.7666666666666666,0.7333333333333334,0.733:0.733:0.767,0.36999999999999994,0.26333333333333336,0.37:0.37:0.37,0.28:0.26:0.25,https://www.uniprot.org/uniprotkb/UBIP1_HUMAN/entry
A1AG2_HUMAN,UD17_HUMAN,731,201,530,3,7.0,14.0,19.0,7.0,19.0,0.68,0.66,0.67,0.66,0.68,0.26,0.19,0.16,0.16,0.26,31.703125,31.703125,31.703125,31.703125,31.703125,A1AG2_HUMAN,UD17_HUMAN,0.5555555555555555,0.7666666666666666,0.3666666666666667,0.767:0.533:0.367,0.67,0.20333333333333334,0.68:0.66:0.67,0.26:0.19:0.16,https://www.uniprot.org/uniprotkb/UD17_HUMAN/entry
A1AG2_HUMAN,URP2_HUMAN,868,201,667,3,16.0,17.0,22.0,16.0,22.0,0.58,0.59,0.59,0.58,0.59,0.16,0.15,0.15,0.15,0.16,31.71875,31.6875,31.703125,31.6875,31.71875,A1AG2_HUMAN,URP2_HUMAN,0.3888888888888889,0.4666666666666667,0.2666666666666667,0.467:0.433:0.267,0.5866666666666666,0.15333333333333332,0.58:0.59:0.59,0.16:0.15:0.15,https://www.uniprot.org/uniprotkb/URP2_HUMAN/entry
A1AG2_HUMAN,ADIPO_HUMAN,445,201,244,3,5.0,8.0,5.0,5.0,8.0,0.55,0.51,0.51,0.51,0.55,0.35,0.22,0.22,0.22,0.35,31.671875,31.71875,31.703125,31.671875,31.71875,A1AG2_HUMAN,ADIPO_HUMAN,0.8000000000000002,0.8333333333333334,0.7333333333333334,0.833:0.733:0.833,0.5233333333333333,0.2633333333333333,0.55:0.51:0.51,0.35:0.22:0.22,https://www.uniprot.org/uniprotkb/ADIPO_HUMAN/entry
A1AG2_HUMAN,ALAT1_HUMAN,697,201,496,3,18.0,19.0,19.0,18.0,19.0,0.69,0.69,0.68,0.68,0.69,0.15,0.14,0.14,0.14,0.15,31.703125,31.6875,31.71875,31.6875,31.71875,A1AG2_HUMAN,ALAT1_HUMAN,0.37777777777777777,0.4,0.3666666666666667,0.4:0.367:0.367,0.6866666666666666,0.14333333333333334,0.69:0.69:0.68,0.15:0.14:0.14,https://www.uniprot.org/uniprotkb/ALAT1_HUMAN/entry
A1AG2_HUMAN,ALS_HUMAN,806,201,605,3,2.0,6.0,10.0,2.0,10.0,0.83,0.71,0.72,0.71,0.83,0.72,0.37,0.28,0.28,0.72,31.4375,31.578125,31.59375,31.4375,31.59375,A1AG2_HUMAN,ALS_HUMAN,0.8000000000000002,0.9333333333333333,0.6666666666666667,0.933:0.8:0.667,0.7533333333333333,0.4566666666666666,0.83:0.71:0.72,0.72:0.37:0.28,https://www.uniprot.org/uniprotkb/ALS_HUMAN/entry
A1AG2_HUMAN,APOA5_HUMAN,567,201,366,3,7.0,11.0,11.0,7.0,11.0,0.43,0.42,0.42,0.42,0.43,0.3,0.23,0.2,0.2,0.3,31.703125,31.703125,31.703125,31.703125,31.703125,A1AG2_HUMAN,APOA5_HUMAN,0.6777777777777777,0.7666666666666666,0.6333333333333333,0.767:0.633:0.633,0.42333333333333334,0.24333333333333332,0.43:0.42:0.42,0.3:0.23:0.2,https://www.uniprot.org/uniprotkb/APOA5_HUMAN/entry
A1AG2_HUMAN,AQP10_HUMAN,502,201,301,3,7.0,16.0,18.0,7.0,18.0,0.56,0.56,0.55,0.55,0.56,0.25,0.16,0.13,0.13,0.25,31.640625,31.640625,31.578125,31.578125,31.640625,A1AG2_HUMAN,AQP10_HUMAN,0.5444444444444444,0.7666666666666666,0.4,0.767:0.467:0.4,0.5566666666666668,0.18000000000000002,0.56:0.56:0.55,0.25:0.16:0.13,https://www.uniprot.org/uniprotkb/AQP10_HUMAN/entry
A1AG2_HUMAN,BAGE4_HUMAN,240,201,39,3,3.0,3.0,5.0,3.0,5.0,0.76,0.77,0.75,0.75,0.77,0.35,0.35,0.34,0.34,0.35,31.6875,31.65625,31.515625,31.515625,31.6875,A1AG2_HUMAN,BAGE4_HUMAN,0.8777777777777778,0.9,0.8333333333333334,0.9:0.9:0.833,0.7600000000000001,0.3466666666666667,0.76:0.77:0.75,0.35:0.35:0.34,https://www.uniprot.org/uniprotkb/BAGE4_HUMAN/entry
A1AG2_HUMAN,C1RL_HUMAN,688,201,487,3,8.0,7.0,13.0,7.0,13.0,0.53,0.48,0.46,0.46,0.53,0.37,0.23,0.19,0.19,0.37,31.703125,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,C1RL_HUMAN,0.6888888888888888,0.7666666666666666,0.5666666666666667,0.733:0.767:0.567,0.49,0.26333333333333336,0.53:0.48:0.46,0.37:0.23:0.19,https://www.uniprot.org/uniprotkb/C1RL_HUMAN/entry
A1AG2_HUMAN,ERAP1_HUMAN,1142,201,941,3,6.0,6.0,9.0,6.0,9.0,0.78,0.78,0.78,0.78,0.78,0.37,0.34,0.31,0.31,0.37,31.734375,31.71875,31.71875,31.71875,31.734375,A1AG2_HUMAN,ERAP1_HUMAN,0.7666666666666666,0.8,0.7,0.8:0.8:0.7,0.7799999999999999,0.34,0.78:0.78:0.78,0.37:0.34:0.31,https://www.uniprot.org/uniprotkb/ERAP1_HUMAN/entry
A1AG2_HUMAN,FOXO1_HUMAN,856,201,655,3,4.0,6.0,6.0,4.0,6.0,0.33,0.33,0.32,0.32,0.33,0.33,0.29,0.27,0.27,0.33,31.703125,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,FOXO1_HUMAN,0.8222222222222223,0.8666666666666667,0.8,0.867:0.8:0.8,0.32666666666666666,0.2966666666666667,0.33:0.33:0.32,0.33:0.29:0.27,https://www.uniprot.org/uniprotkb/FOXO1_HUMAN/entry
A1AG2_HUMAN,FUT5_HUMAN,575,201,374,3,17.0,14.0,19.0,14.0,19.0,0.56,0.54,0.55,0.54,0.56,0.18,0.14,0.14,0.14,0.18,31.71875,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,FUT5_HUMAN,0.4444444444444445,0.5333333333333333,0.3666666666666667,0.433:0.533:0.367,0.55,0.15333333333333335,0.56:0.54:0.55,0.18:0.14:0.14,https://www.uniprot.org/uniprotkb/FUT5_HUMAN/entry
A1AG2_HUMAN,GBG8_HUMAN,271,201,70,3,3.0,3.0,4.0,3.0,4.0,0.68,0.7,0.69,0.68,0.7,0.3,0.25,0.21,0.21,0.3,31.6875,31.6875,31.65625,31.65625,31.6875,A1AG2_HUMAN,GBG8_HUMAN,0.888888888888889,0.9,0.8666666666666667,0.9:0.9:0.867,0.69,0.25333333333333335,0.68:0.7:0.69,0.3:0.25:0.21,https://www.uniprot.org/uniprotkb/GBG8_HUMAN/entry
A1AG2_HUMAN,HAOX1_HUMAN,571,201,370,3,4.0,4.0,4.0,4.0,4.0,0.67,0.67,0.67,0.67,0.67,0.33,0.33,0.27,0.27,0.33,31.59375,31.609375,31.65625,31.59375,31.65625,A1AG2_HUMAN,HAOX1_HUMAN,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.867:0.867:0.867,0.67,0.31,0.67:0.67:0.67,0.33:0.33:0.27,https://www.uniprot.org/uniprotkb/HAOX1_HUMAN/entry
A1AG2_HUMAN,IL2_HUMAN,354,201,153,3,5.0,11.0,9.0,5.0,11.0,0.58,0.59,0.56,0.56,0.59,0.44,0.23,0.16,0.16,0.44,31.640625,31.6875,31.546875,31.546875,31.6875,A1AG2_HUMAN,IL2_HUMAN,0.7222222222222223,0.8333333333333334,0.6333333333333333,0.833:0.633:0.7,0.5766666666666667,0.27666666666666667,0.58:0.59:0.56,0.44:0.23:0.16,https://www.uniprot.org/uniprotkb/IL2_HUMAN/entry
A1AG2_HUMAN,MA1A1_HUMAN,854,201,653,3,5.0,5.0,7.0,5.0,7.0,0.7,0.61,0.62,0.61,0.7,0.53,0.35,0.3,0.3,0.53,31.65625,31.6875,31.671875,31.65625,31.6875,A1AG2_HUMAN,MA1A1_HUMAN,0.8111111111111112,0.8333333333333334,0.7666666666666666,0.833:0.833:0.767,0.6433333333333334,0.3933333333333333,0.7:0.61:0.62,0.53:0.35:0.3,https://www.uniprot.org/uniprotkb/MA1A1_HUMAN/entry
A1AG2_HUMAN,MGT5A_HUMAN,942,201,741,3,20.0,20.0,21.0,20.0,21.0,0.65,0.63,0.63,0.63,0.65,0.18,0.18,0.15,0.15,0.18,31.71875,31.71875,31.734375,31.71875,31.734375,A1AG2_HUMAN,MGT5A_HUMAN,0.32222222222222224,0.33333333333333337,0.30000000000000004,0.333:0.333:0.3,0.6366666666666667,0.17,0.65:0.63:0.63,0.18:0.18:0.15,https://www.uniprot.org/uniprotkb/MGT5A_HUMAN/entry
A1AG2_HUMAN,MUCL1_HUMAN,291,201,90,3,4.0,4.0,11.0,4.0,11.0,0.67,0.67,0.64,0.64,0.67,0.25,0.24,0.16,0.16,0.25,31.65625,31.671875,31.671875,31.65625,31.671875,A1AG2_HUMAN,MUCL1_HUMAN,0.7888888888888889,0.8666666666666667,0.6333333333333333,0.867:0.867:0.633,0.66,0.21666666666666667,0.67:0.67:0.64,0.25:0.24:0.16,https://www.uniprot.org/uniprotkb/MUCL1_HUMAN/entry
A1AG2_HUMAN,NFKB1_HUMAN,1169,201,968,3,14.0,11.0,24.0,11.0,24.0,0.42,0.45,0.42,0.42,0.45,0.23,0.21,0.17,0.17,0.23,31.71875,31.703125,31.734375,31.703125,31.734375,A1AG2_HUMAN,NFKB1_HUMAN,0.4555555555555555,0.6333333333333333,0.19999999999999996,0.533:0.633:0.2,0.43,0.20333333333333334,0.42:0.45:0.42,0.23:0.21:0.17,https://www.uniprot.org/uniprotkb/NFKB1_HUMAN/entry
A1AG2_HUMAN,NGAL_HUMAN,399,201,198,3,7.0,6.0,9.0,6.0,9.0,0.52,0.49,0.49,0.49,0.52,0.22,0.22,0.16,0.16,0.22,31.515625,31.65625,31.609375,31.515625,31.65625,A1AG2_HUMAN,NGAL_HUMAN,0.7555555555555555,0.8,0.7,0.767:0.8:0.7,0.5,0.19999999999999998,0.52:0.49:0.49,0.22:0.22:0.16,https://www.uniprot.org/uniprotkb/NGAL_HUMAN/entry
A1AG2_HUMAN,NOLC1_HUMAN,900,201,699,3,6.0,13.0,14.0,6.0,14.0,0.31,0.32,0.31,0.31,0.32,0.3,0.22,0.18,0.18,0.3,31.703125,31.671875,31.6875,31.671875,31.703125,A1AG2_HUMAN,NOLC1_HUMAN,0.6333333333333333,0.8,0.5333333333333333,0.8:0.567:0.533,0.3133333333333333,0.2333333333333333,0.31:0.32:0.31,0.3:0.22:0.18,https://www.uniprot.org/uniprotkb/NOLC1_HUMAN/entry
A1AG2_HUMAN,OIT3_HUMAN,746,201,545,3,15.0,21.0,21.0,15.0,21.0,0.49,0.51,0.45,0.45,0.51,0.14,0.13,0.14,0.13,0.14,31.703125,31.703125,31.6875,31.6875,31.703125,A1AG2_HUMAN,OIT3_HUMAN,0.3666666666666667,0.5,0.30000000000000004,0.5:0.3:0.3,0.48333333333333334,0.1366666666666667,0.49:0.51:0.45,0.14:0.13:0.14,https://www.uniprot.org/uniprotkb/OIT3_HUMAN/entry
A1AG2_HUMAN,ORML3_HUMAN,354,201,153,3,4.0,5.0,4.0,4.0,5.0,0.59,0.58,0.59,0.58,0.59,0.26,0.25,0.23,0.23,0.26,31.65625,31.6875,31.671875,31.65625,31.6875,A1AG2_HUMAN,ORML3_HUMAN,0.8555555555555556,0.8666666666666667,0.8333333333333334,0.867:0.833:0.867,0.5866666666666666,0.24666666666666667,0.59:0.58:0.59,0.26:0.25:0.23,https://www.uniprot.org/uniprotkb/ORML3_HUMAN/entry
A1AG2_HUMAN,PHF11_HUMAN,532,201,331,3,8.0,5.0,18.0,5.0,18.0,0.42,0.43,0.4,0.4,0.43,0.34,0.31,0.14,0.14,0.34,31.6875,31.71875,31.734375,31.6875,31.734375,A1AG2_HUMAN,PHF11_HUMAN,0.6555555555555556,0.8333333333333334,0.4,0.733:0.833:0.4,0.4166666666666667,0.26333333333333336,0.42:0.43:0.4,0.34:0.31:0.14,https://www.uniprot.org/uniprotkb/PHF11_HUMAN/entry
A1AG2_HUMAN,PHLD_HUMAN,1041,201,840,3,13.0,17.0,23.0,13.0,23.0,0.76,0.75,0.75,0.75,0.76,0.18,0.17,0.15,0.15,0.18,31.5625,31.671875,31.6875,31.5625,31.6875,A1AG2_HUMAN,PHLD_HUMAN,0.41111111111111115,0.5666666666666667,0.23333333333333328,0.567:0.433:0.233,0.7533333333333333,0.16666666666666666,0.76:0.75:0.75,0.18:0.17:0.15,https://www.uniprot.org/uniprotkb/PHLD_HUMAN/entry
A1AG2_HUMAN,PI16_HUMAN,664,201,463,3,4.0,4.0,5.0,4.0,5.0,0.38,0.4,0.39,0.38,0.4,0.38,0.33,0.28,0.28,0.38,31.6875,31.703125,31.71875,31.6875,31.71875,A1AG2_HUMAN,PI16_HUMAN,0.8555555555555556,0.8666666666666667,0.8333333333333334,0.867:0.867:0.833,0.38999999999999996,0.33,0.38:0.4:0.39,0.38:0.33:0.28,https://www.uniprot.org/uniprotkb/PI16_HUMAN/entry
A1AG2_HUMAN,PLTP_HUMAN,694,201,493,3,13.0,8.0,22.0,8.0,22.0,0.65,0.63,0.63,0.63,0.65,0.24,0.21,0.12,0.12,0.24,31.71875,31.6875,31.734375,31.6875,31.734375,A1AG2_HUMAN,PLTP_HUMAN,0.5222222222222223,0.7333333333333334,0.2666666666666667,0.567:0.733:0.267,0.6366666666666667,0.18999999999999997,0.65:0.63:0.63,0.24:0.21:0.12,https://www.uniprot.org/uniprotkb/PLTP_HUMAN/entry
A1AG2_HUMAN,PROP_HUMAN,670,201,469,3,9.0,11.0,19.0,9.0,19.0,0.51,0.51,0.5,0.5,0.51,0.42,0.25,0.17,0.17,0.42,31.703125,31.703125,31.71875,31.703125,31.71875,A1AG2_HUMAN,PROP_HUMAN,0.5666666666666667,0.7,0.3666666666666667,0.7:0.633:0.367,0.5066666666666667,0.27999999999999997,0.51:0.51:0.5,0.42:0.25:0.17,https://www.uniprot.org/uniprotkb/PROP_HUMAN/entry
A1AG2_HUMAN,PRTN3_HUMAN,457,201,256,3,5.0,9.0,7.0,5.0,9.0,0.55,0.54,0.54,0.54,0.55,0.27,0.2,0.19,0.19,0.27,31.671875,31.609375,31.65625,31.609375,31.671875,A1AG2_HUMAN,PRTN3_HUMAN,0.7666666666666666,0.8333333333333334,0.7,0.833:0.7:0.767,0.5433333333333333,0.22,0.55:0.54:0.54,0.27:0.2:0.19,https://www.uniprot.org/uniprotkb/PRTN3_HUMAN/entry
A1AG2_HUMAN,RETNB_HUMAN,312,201,111,3,1.0,5.0,7.0,1.0,7.0,0.66,0.65,0.62,0.62,0.66,0.75,0.34,0.19,0.19,0.75,31.703125,31.71875,31.734375,31.703125,31.734375,A1AG2_HUMAN,RETNB_HUMAN,0.8555555555555555,0.9666666666666667,0.7666666666666666,0.967:0.833:0.767,0.6433333333333334,0.4266666666666667,0.66:0.65:0.62,0.75:0.34:0.19,https://www.uniprot.org/uniprotkb/RETNB_HUMAN/entry
A1AG2_HUMAN,S47A1_HUMAN,771,201,570,3,17.0,20.0,17.0,17.0,20.0,0.65,0.65,0.65,0.65,0.65,0.21,0.19,0.18,0.18,0.21,31.703125,31.671875,31.6875,31.671875,31.703125,A1AG2_HUMAN,S47A1_HUMAN,0.4000000000000001,0.43333333333333335,0.33333333333333337,0.433:0.333:0.433,0.65,0.19333333333333336,0.65:0.65:0.65,0.21:0.19:0.18,https://www.uniprot.org/uniprotkb/S47A1_HUMAN/entry
A1AG2_HUMAN,S47A2_HUMAN,803,201,602,3,10.0,12.0,13.0,10.0,13.0,0.65,0.64,0.63,0.63,0.65,0.24,0.2,0.2,0.2,0.24,31.703125,31.6875,31.703125,31.6875,31.703125,A1AG2_HUMAN,S47A2_HUMAN,0.611111111111111,0.6666666666666667,0.5666666666666667,0.667:0.6:0.567,0.64,0.21333333333333335,0.65:0.64:0.63,0.24:0.2:0.2,https://www.uniprot.org/uniprotkb/S47A2_HUMAN/entry
A1AG2_HUMAN,SBSN_HUMAN,791,201,590,3,4.0,5.0,8.0,4.0,8.0,0.35,0.33,0.32,0.32,0.35,0.36,0.35,0.24,0.24,0.36,31.71875,31.6875,31.71875,31.6875,31.71875,A1AG2_HUMAN,SBSN_HUMAN,0.8111111111111112,0.8666666666666667,0.7333333333333334,0.867:0.833:0.733,0.3333333333333333,0.31666666666666665,0.35:0.33:0.32,0.36:0.35:0.24,https://www.uniprot.org/uniprotkb/SBSN_HUMAN/entry
A1AG2_HUMAN,SEPP1_HUMAN,582,201,381,3,8.0,8.0,11.0,8.0,11.0,0.4,0.4,0.39,0.39,0.4,0.26,0.24,0.23,0.23,0.26,31.734375,31.71875,31.703125,31.703125,31.734375,A1AG2_HUMAN,SEPP1_HUMAN,0.7000000000000001,0.7333333333333334,0.6333333333333333,0.733:0.733:0.633,0.39666666666666667,0.24333333333333332,0.4:0.4:0.39,0.26:0.24:0.23,https://www.uniprot.org/uniprotkb/SEPP1_HUMAN/entry
A1AG2_HUMAN,SIGL1_HUMAN,398,201,197,3,4.0,3.0,9.0,3.0,9.0,0.56,0.53,0.51,0.51,0.56,0.3,0.29,0.15,0.15,0.3,31.734375,31.71875,31.6875,31.6875,31.734375,A1AG2_HUMAN,SIGL1_HUMAN,0.8222222222222223,0.9,0.7,0.867:0.9:0.7,0.5333333333333333,0.24666666666666667,0.56:0.53:0.51,0.3:0.29:0.15,https://www.uniprot.org/uniprotkb/SIGL1_HUMAN/entry
A1AG2_HUMAN,SO3A1_HUMAN,911,201,710,3,21.0,23.0,18.0,18.0,23.0,0.63,0.63,0.63,0.63,0.63,0.18,0.17,0.17,0.17,0.18,31.71875,31.71875,31.734375,31.71875,31.734375,A1AG2_HUMAN,SO3A1_HUMAN,0.3111111111111111,0.4,0.23333333333333328,0.3:0.233:0.4,0.63,0.17333333333333334,0.63:0.63:0.63,0.18:0.17:0.17,https://www.uniprot.org/uniprotkb/SO3A1_HUMAN/entry
A1AG2_HUMAN,STK3_HUMAN,692,201,491,3,19.0,19.0,15.0,15.0,19.0,0.48,0.49,0.47,0.47,0.49,0.17,0.17,0.15,0.15,0.17,31.6875,31.703125,31.71875,31.6875,31.71875,A1AG2_HUMAN,STK3_HUMAN,0.41111111111111115,0.5,0.3666666666666667,0.367:0.367:0.5,0.48,0.16333333333333333,0.48:0.49:0.47,0.17:0.17:0.15,https://www.uniprot.org/uniprotkb/STK3_HUMAN/entry
A1AG2_HUMAN,TYB4_HUMAN,245,201,44,3,5.0,3.0,5.0,3.0,5.0,0.75,0.75,0.74,0.74,0.75,0.29,0.29,0.23,0.23,0.29,31.6875,31.65625,31.6875,31.65625,31.6875,A1AG2_HUMAN,TYB4_HUMAN,0.8555555555555556,0.9,0.8333333333333334,0.833:0.9:0.833,0.7466666666666667,0.26999999999999996,0.75:0.75:0.74,0.29:0.29:0.23,https://www.uniprot.org/uniprotkb/TYB4_HUMAN/entry
A1AG2_HUMAN,VGFR2_HUMAN,1557,201,1356,3,8.0,14.0,19.0,8.0,19.0,0.34,0.33,0.32,0.32,0.34,0.34,0.26,0.26,0.26,0.34,31.71875,31.703125,31.734375,31.703125,31.734375,A1AG2_HUMAN,VGFR2_HUMAN,0.5444444444444444,0.7333333333333334,0.3666666666666667,0.733:0.533:0.367,0.33,0.2866666666666667,0.34:0.33:0.32,0.34:0.26:0.26,https://www.uniprot.org/uniprotkb/VGFR2_HUMAN/entry
A1AG2_HUMAN,B2MG_HUMAN,320,201,119,3,4.0,4.0,4.0,4.0,4.0,0.63,0.61,0.61,0.61,0.63,0.25,0.2,0.19,0.19,0.25,31.59375,31.65625,31.640625,31.59375,31.65625,A1AG2_HUMAN,B2MG_HUMAN,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.867:0.867:0.867,0.6166666666666667,0.21333333333333335,0.63:0.61:0.61,0.25:0.2:0.19,https://www.uniprot.org/uniprotkb/B2MG_HUMAN/entry
A1AG2_HUMAN,CP141_HUMAN,302,201,101,3,1.0,5.0,8.0,1.0,8.0,0.73,0.63,0.62,0.62,0.73,0.73,0.2,0.18,0.18,0.73,31.6875,31.6875,31.6875,31.6875,31.6875,A1AG2_HUMAN,CP141_HUMAN,0.8444444444444444,0.9666666666666667,0.7333333333333334,0.967:0.833:0.733,0.66,0.36999999999999994,0.73:0.63:0.62,0.73:0.2:0.18,https://www.uniprot.org/uniprotkb/CP141_HUMAN/entry
A1AG2_HUMAN,CR3L3_HUMAN,662,201,461,3,8.0,7.0,9.0,7.0,9.0,0.35,0.36,0.35,0.35,0.36,0.25,0.24,0.23,0.23,0.25,31.734375,31.71875,31.71875,31.71875,31.734375,A1AG2_HUMAN,CR3L3_HUMAN,0.7333333333333334,0.7666666666666666,0.7,0.733:0.767:0.7,0.35333333333333333,0.24,0.35:0.36:0.35,0.25:0.24:0.23,https://www.uniprot.org/uniprotkb/CR3L3_HUMAN/entry
A1AG2_HUMAN,EF1A2_HUMAN,664,201,463,3,1.0,4.0,5.0,1.0,5.0,0.79,0.71,0.71,0.71,0.79,0.76,0.57,0.56,0.56,0.76,31.65625,31.59375,31.625,31.59375,31.65625,A1AG2_HUMAN,EF1A2_HUMAN,0.888888888888889,0.9666666666666667,0.8333333333333334,0.967:0.867:0.833,0.7366666666666667,0.63,0.79:0.71:0.71,0.76:0.57:0.56,https://www.uniprot.org/uniprotkb/EF1A2_HUMAN/entry
A1AG2_HUMAN,FCGRN_HUMAN,566,201,365,3,6.0,11.0,8.0,6.0,11.0,0.42,0.41,0.4,0.4,0.42,0.32,0.21,0.2,0.2,0.32,31.71875,31.703125,31.703125,31.703125,31.71875,A1AG2_HUMAN,FCGRN_HUMAN,0.7222222222222223,0.8,0.6333333333333333,0.8:0.633:0.733,0.41,0.24333333333333332,0.42:0.41:0.4,0.32:0.21:0.2,https://www.uniprot.org/uniprotkb/FCGRN_HUMAN/entry
A1AG2_HUMAN,GP2_HUMAN,738,201,537,3,9.0,7.0,6.0,6.0,9.0,0.43,0.35,0.35,0.35,0.43,0.35,0.3,0.24,0.24,0.35,31.734375,31.734375,31.734375,31.734375,31.734375,A1AG2_HUMAN,GP2_HUMAN,0.7555555555555555,0.8,0.7,0.7:0.767:0.8,0.37666666666666665,0.29666666666666663,0.43:0.35:0.35,0.35:0.3:0.24,https://www.uniprot.org/uniprotkb/GP2_HUMAN/entry
